Country Name,Country Code,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Aruba,ABW,,,,,,,,596423607.1,958463184.4,1379960894,1873452514,2228491620,2745251397,2534636872,2965921788
Afghanistan,AFG,537777811.1,800000044.4,1373333367,1595555476,2555555567,3641723322,,,,,,5226778809,10109225814,20001598506,18017749074
Angola,AGO,,,,,,5930503401,6131475065,8769250550,8307810974,7526446606,9129594819,23552052408,88538611205,1.28E+11,1.01E+11
Albania,ALB,,,,,,,1857338012,2051236250,652174990.8,3199642580,3480355189,7184681399,12881354104,12319830252,11861200797
Andorra,AND,,,,113408231.9,227281024.6,446416105.8,330070689.3,721425939.2,1210013652,1223945357,1429049198,2894921778,4085630584,3188808943,2896679212
Arab World,ARB,,,25891606124,44182128971,1.45E+11,3.38E+11,3.11E+11,3.08E+11,4.72E+11,5.79E+11,7.36E+11,9.65E+11,2.08E+12,2.77E+12,2.47E+12
United Arab Emirates,ARE,,,,,19213022691,43598748449,41807954236,36275674203,54239171888,73571233996,1.04E+11,1.48E+11,3.15E+11,3.75E+11,3.57E+11
Argentina,ARG,,25605249382,26436857247,34733000536,51169499891,76961923742,79092001998,1.26E+11,2.29E+11,2.72E+11,2.84E+11,1.65E+11,3.62E+11,5.46E+11,5.58E+11
Armenia,ARM,,,,,,,,,1272577456,1596968913,1911563665,3576615240,11662040714,10619320049,10546135160
American Samoa,ASM,,,,,,,,,,,,512000000,563000000,644000000,652000000
Antigua and Barbuda,ATG,,,,,,131431026.7,208372846.3,398637727.8,499281481.5,633729629.6,826370370.4,919729629.6,1370070370,1199948148,1436585185
Australia,AUS,18577668272,23764139321,32665472057,51967289720,1.05E+11,1.50E+11,1.93E+11,2.36E+11,3.25E+11,4.00E+11,4.15E+11,6.12E+11,1.05E+12,1.55E+12,1.21E+12
Austria,AUT,6592693841,9169983886,12440625313,22059612477,42959976222,82058912997,67985344887,1.33E+11,1.95E+11,2.37E+11,1.97E+11,3.01E+11,4.30E+11,4.09E+11,3.96E+11
Azerbaijan,AZE,,,,,,,,,4991350458,3176703092,5272617196,8680370408,48852482960,69683935845,37867518957
Burundi,BDI,195999990,260750008,183200000,246804571.4,448412753.6,919726666.7,987143931.2,1082403219,1083037671,869033856.3,870486065.9,915257323.4,1611835902,2333308099,2959640987
Belgium,BEL,11658722591,15960106681,21376353113,37209418019,71113882968,1.27E+11,83349530159,1.62E+11,2.35E+11,2.79E+11,2.36E+11,3.69E+11,5.15E+11,4.96E+11,4.76E+11
Benin,BEN,226195579.4,269818988.3,326323097.4,410331901,698408244.4,1405251547,1051133927,1620246187,1695315306,2361116588,3511248900,6179176459,9748276762,11141358945,11821066153
Burkina Faso,BFA,330442817.2,410321785.6,460442864.2,578595584,976547572.2,1928720390,1459880353,2616040646,2240264712,2586550747,2956746304,5451688868,9451436359,12561016091,12833363370
Bangladesh,BGD,4274893913,5386054619,7483685474,6288245867,10117113333,18138049096,18920840000,26579005760,31708874594,46438484108,53369787319,65108544250,91631278239,1.33E+11,2.21E+11
Bulgaria,BGR,,,,,,19839230769,17594944444,22555941176,10350515464,12294221473,13245833844,26157894737,54438966420,54033250329,53806894796
Bahrain,BHR,,,,,,3072698328,3905585106,3702393617,4751063830,6101861436,9062898936,13150159574,25710904255,30749308511,32234973404
"Bahamas, The",BHS,169803921.6,266666666.7,444901960.8,590900000,642100000,1335300000,2041100000,2817900000,3109000000,3609000000,8076470000,9055290000,10526000000,10720500000,11928500000
Bosnia and Herzegovina,BIH,,,,,,,,,,2786045322,5505887894,10596205714,19112739664,17226849297,16913330694
Belarus,BLR,,,,,,,,,17037037037,14756846154,12736856828,23144351852,60763483146,65685102555,47722657821
Belize,BLZ,28071888.56,36193826.12,44910179.64,66062500,96905829.6,197938222.4,214381949,320093360.3,518239100,641383800,832050000,1051350000,1351350000,1522900000,1775100000
Bermuda,BMU,84466654.08,107566650.6,150000000,235400000,386300000,613299968,985699968,1415100032,1679900000,2695390000,3480219000,4484703000,6980000000,6378188000,6899911000
Bolivia,BOL,373879363.6,539491477.3,857912457.9,1257615645,2731984008,4526916803,6169501038,4597615563,5643893347,7396966657,8397912509,8773451739,16674324634,27084497483,33941126200
Brazil,BRA,15165569913,21211892260,33875881876,58539008786,1.53E+11,2.35E+11,2.09E+11,3.30E+11,4.01E+11,8.50E+11,6.55E+11,6.69E+11,1.70E+12,2.47E+12,1.80E+12
Barbados,BRB,,,,,435911268.6,1012280615,1346890071,1812757918,1957000000,2363645403,3059500000,3444500000,4785000000,4610000000,4830000000
Brunei Darussalam,BRN,,,160819286.6,270818555.8,1423061357,4928824958,3782523088,2690717551,4183548189,5115602837,6001153306,7872333215,14393099069,19047940301,11400854268
Bhutan,BTN,,,,,,135653295.2,169264991.2,283855833.3,250794359.6,316420860.9,424464089.9,682523857,1227808791,1781281282,2158972129
Botswana,BWA,30412308.99,41613969.05,66248256.62,165258093.9,372010119.6,1060923829,1240796365,2644536804,4146513722,4847752843,5788329609,8957467707,10945070442,14380004175,15646354089
Central African Republic,CAF,112155598.9,142025069.5,191767437,230317908,451152450,797048028.8,637820620.7,1264899368,1411917558,1007791186,914500299.1,1270080251,1985240986,2510126699,1825018191
Canada,CAN,40461721693,49377522897,71829810520,1.13E+11,2.07E+11,2.74E+11,3.55E+11,5.07E+11,5.92E+11,6.29E+11,7.42E+11,1.02E+12,1.55E+12,1.83E+12,1.53E+12
Central Europe and the Baltics,CEB,,,,,,,,,2.60E+11,4.16E+11,4.28E+11,7.63E+11,1.53E+12,1.35E+12,1.32E+12
Switzerland,CHE,9522746719,14480556572,18942729779,35777236928,66493313730,1.19E+11,1.06E+11,2.09E+11,2.72E+11,3.30E+11,2.72E+11,3.94E+11,5.54E+11,6.68E+11,6.71E+11
Channel Islands,CHI,,,,,,,,,,,6439703435,8553643354,,,
Chile,CHL,4110000000,5982347826,7167086957,11853817308,10341925249,29036709872,19622527480,26040229793,45964327559,78039572222,77860932152,99210392858,1.80E+11,2.67E+11,2.50E+11
China,CHN,59716467625,59708343489,70846535056,1.14E+11,1.54E+11,1.91E+11,2.60E+11,3.12E+11,4.27E+11,8.64E+11,1.21E+12,1.96E+12,4.59E+12,8.53E+12,1.12E+13
Cote d'Ivoire,CIV,546203561.6,921063266.4,1281281246,1849400600,4662053708,10175615442,6841638715,10255170460,11152971316,12139234939,10717022463,16584164236,24322959641,26789047555,47964234560
Cameroon,CMR,618740988,782384527.8,1053077155,1430951332,3076592431,6740756569,7801858825,12493286762,11396310990,10513387442,10083937740,17430933517,26409781215,29102772799,32643697596
"Congo, Dem. Rep.",COD,3359404118,2881545273,3909780539,6173712814,9648583225,14394927495,7857729193,8861299977,8227343907,5771454940,19088046306,10297483481,19788515874,29306235826,37134799975
"Congo, Rep.",COG,131731862.6,185693724.8,251247458,410669262.9,754549600.5,1705796850,2193581366,2212536313,2933222714,2540697688,3219910550,4656975223,11649858744,17692912613,10335424288
Colombia,COL,4031152977,5973366667,5960212869,8671358733,15341403660,33400735644,38253120738,39212550050,58418985443,97160109278,99886577331,1.17E+11,2.42E+11,3.71E+11,2.83E+11
Comoros,COM,,,,,,212218226.4,184697210,356500026.7,457388578.9,396053797.6,350264287.7,633706149.3,915659192.8,1015843369,1012835518
Cabo Verde,CPV,,,,,,142246875.5,132019065,264308140.3,357160985.3,501979069.3,539227277.6,924318490.8,1789333749,1741809809,1662998678
Costa Rica,CRI,507513830,542578367.2,773841494.3,1238251696,2412555426,4831447001,3660476459,4614629898,8528593421,11618286652,14949514493,18528955525,30612927059,46473128286,57157992434
Caribbean small states,CSS,1880306125,2470264540,3083590687,4639299319,7932122921,13495267730,15982827317,16459864447,17570523339,24055634514,34198261849,43259576006,70340127758,72051118642,69191343076
Cuba,CUB,,,,8135150892,13789579903,19912889861,24039383608,27458999472,22085858243,25017368700,30565400000,38203000000,60806300000,73141000000,91370000000
Curacao,CUW,,,,,,,,,,,,,,3131096089,3122287933
Cayman Islands,CYM,,,,,,,,,,,,,4586114070,4291158968,4909498943
Cyprus,CYP,,,,,576090073.7,2154311277,2278248953,4278792597,6912150456,10011918444,9985844486,17320552500,27844698989,24978513427,20953442550
Czech Republic,CZE,,,,,,,,,34805013230,67387788633,61828166496,1.20E+11,2.37E+11,2.09E+11,1.96E+11
Germany,DEU,,,,3.00E+11,5.20E+11,9.50E+11,7.25E+11,1.40E+12,2.13E+12,2.50E+12,1.94E+12,2.81E+12,3.73E+12,3.53E+12,3.47E+12
Djibouti,DJI,,,,,,,,395794538.6,478058304.9,494004647.7,551230861.9,666072101.8,999105339.3,1353632942,2603554907
Dominica,DMA,,,,,,72804653.33,109157070.7,171106184.1,234058259.3,292286000,333468888.9,367199111.1,458190185.2,485996296.3,576229629.6
Denmark,DNK,,,13505573867,23232379952,44575892473,71127528700,59105236854,1.16E+11,1.53E+11,1.88E+11,1.64E+11,2.51E+11,3.53E+11,3.27E+11,3.13E+11
Dominican Republic,DOM,672399700,1025599900,1079100000,1987400000,3951500000,6761300000,11594000000,5374314928,11356271339,18241691854,24305116729,22322395369,48122547177,60681537195,75704720190
Algeria,DZA,,2909351793,3852115817,6761786387,17728347375,42345277342,53698278906,59089067187,48003298223,46941496780,54790233856,85325003122,1.71E+11,2.09E+11,1.60E+11
East Asia & Pacific (excluding high income),EAP,80250493642,81045145100,1.01E+11,1.55E+11,2.51E+11,3.75E+11,4.78E+11,5.72E+11,8.06E+11,1.51E+12,1.74E+12,2.69E+12,5.99E+12,1.07E+13,1.36E+13
Early-demographic dividend,EAR,1.52E+11,1.93E+11,2.35E+11,3.31E+11,6.93E+11,1.30E+12,1.38E+12,1.53E+12,2.12E+12,2.72E+12,3.31E+12,4.11E+12,7.33E+12,1.01E+13,1.06E+13
East Asia & Pacific,EAS,1.53E+11,2.02E+11,3.00E+11,5.62E+11,1.03E+12,1.81E+12,2.23E+12,4.35E+12,5.84E+12,8.00E+12,8.30E+12,9.68E+12,1.41E+13,2.11E+13,2.27E+13
Europe & Central Asia (excluding high income),ECA,,,,,,,,8.63E+11,8.04E+11,7.30E+11,6.62E+11,1.26E+12,3.10E+12,3.90E+12,2.77E+12
Europe & Central Asia,ECS,,,8.28E+11,1.38E+12,2.40E+12,4.60E+12,3.68E+12,7.14E+12,9.79E+12,1.11E+13,1.00E+13,1.57E+13,2.33E+13,2.24E+13,2.04E+13
Ecuador,ECU,2069465326,2244146868,2582180794,3185987235,9091924305,17881514683,16912515183,13051886552,18094238119,25226393197,18327764882,36591661000,61762635000,87924544000,99937696000
"Egypt, Arab Rep.",EGY,,,5932242991,9299638056,13315988083,21669908177,33971188992,34980124929,41855986519,67629716981,99838543960,78782467532,1.63E+11,2.79E+11,3.32E+11
Euro area,EMU,2.45E+11,3.73E+11,5.19E+11,8.80E+11,1.57E+12,2.96E+12,2.33E+12,4.58E+12,6.74E+12,7.61E+12,6.48E+12,1.01E+13,1.41E+13,1.26E+13,1.20E+13
Eritrea,ERI,,,,,,,,,477101651.6,693535954.2,706370815.6,1109054005,1380188800,,
Spain,ESP,12072126075,21343844644,31475548481,59132415221,1.19E+11,2.33E+11,1.72E+11,3.76E+11,6.31E+11,6.43E+11,5.97E+11,1.07E+12,1.63E+12,1.32E+12,1.23E+12
Estonia,EST,,,,,,,,,,4780170373,5694069842,12144397516,24371299253,23192708982,24259552889
Ethiopia,ETH,,,,,,,8096302367,10908935749,10492993078,8547939731,8242392104,10131187261,27066912635,43310721414,74296618481
European Union,EUU,,,5.86E+11,9.91E+11,1.77E+12,3.30E+12,2.60E+12,5.09E+12,7.40E+12,8.43E+12,7.26E+12,1.14E+13,1.62E+13,1.46E+13,1.39E+13
Fragile and conflict affected situations,FCS,17248392836,20059244831,24057049316,38333966647,92556684714,1.76E+11,1.77E+11,1.80E+11,2.67E+11,2.88E+11,4.12E+11,5.19E+11,1.26E+12,1.68E+12,1.55E+12
Finland,FIN,5224102196,7766655086,8823033880,14743186120,31849513771,53645202423,52888800950,1.09E+11,1.13E+11,1.32E+11,1.26E+11,1.97E+11,2.85E+11,2.58E+11,2.41E+11
Fiji,FJI,112328422.1,140032741.5,166952937.1,316650509,694552411.7,1202567359,1177997414,1109976928,1531803061,2129266728,1684109743,2727507213,3523185920,3972012571,4930204220
France,FRA,62225478001,94007851047,1.30E+11,2.03E+11,3.72E+11,7.01E+11,5.31E+11,1.02E+12,1.40E+12,1.61E+12,1.36E+12,2.12E+12,2.92E+12,2.68E+12,2.47E+12
Faroe Islands,FRO,,,,,,,,,,,1058702725,1688237552,2432415998,2366301252,2738832687
"Micronesia, Fed. Sts.",FSM,,,,,,,,124700000,178100000,218534700,233271800,240236000,263145100,327248700,332265200
Gabon,GAB,141468977.6,215679855.3,294468564.5,430508357.7,3009409971,4279637934,3561451562,3834503378,5592390849,5694040337,5067865321,7770219480,15571349776,17170465294,14023890620
United Kingdom,GBR,73233967692,94407558351,1.08E+11,1.70E+11,2.33E+11,5.65E+11,4.61E+11,9.10E+11,1.18E+12,1.42E+12,1.66E+12,2.42E+12,2.92E+12,2.70E+12,2.69E+12
